title,body,labels,milestone,assignees
[INIT] Structure projet & environnement,"Initialiser le repo, .gitignore, arborescence backend/frontend/scripts",setup,Phase 1,
[DOC] Roadmap & README,"Rédiger README détaillé avec objectifs, structure et guide d’installation",documentation,Phase 1,
[SEC] Gestion des secrets,"Mettre en place GitHub Secrets ou Copilot Vault pour stocker les clés/API",securité,Phase 1,
[FEAT] Orchestration multi-LLM,"Développer l’orchestrateur LLM (GPT-4, Gemini, DeepSeek, Ollama…)",orchestration,Phase 1,
[FEAT] Dialogue contextuel,"Gérer l’état de conversation entre prompts et réponses",orchestration,Phase 1,
[FEAT] Mémoire vectorielle,"Intégrer une base vectorielle (ChromaDB, FAISS, Pinecone…)",mémoire,Phase 2,
[FEAT] Contextualisation utilisateur,"Stocker le profil, les préférences, et l’historique utilisateur",mémoire,Phase 2,
[FEAT] Monitoring & logs,"Mise en place d’un système de logs centralisés (actions, erreurs…)",monitoring,Phase 2,
[FEAT] Intégration Copilot/Codespaces,"Automatiser l’usage de Copilot/Codespaces pour dev rapide",intégration,Phase 2,
[FEAT] Sécurisation secrets (Vault),"Stocker et accéder aux secrets de façon sécurisée (Hashicorp, Copilot)",securité,Phase 2,
[FEAT] Gestion multi-LLM (OpenAI, Gemini, DeepSeek, Ollama),"Switcher dynamiquement entre moteurs selon tâche",orchestration,Phase 3,
[FEAT] UI web (vite/React) + CLI,"Développer une interface web ergonomique et un CLI d’admin",ui,Phase 3,
[FEAT] Intégration commandes vocales (Whisper, TTS…),"Supporter l’input vocal + synthèse vocale des réponses",vocal,Phase 3,
[FEAT] Ajout/gestion de tâches via interface,"Permettre l’ajout/édition de tâches depuis l’UI",ui,Phase 3,
[FEAT] Historique & auto-feedback,"Créer une gestion d’historique et un feedback utilisateur/IA",monitoring,Phase 3,
[FEAT] Monitoring auto-actions (auto-feedback DevOps/Copilot),"Déclencher des logs/alertes sur chaque action critique",monitoring,Phase 3,
[FEAT] Sécurité & Secret Management,"Gestion avancée des accès et audit de sécurité",securité,Phase 4,
[FEAT] Automatisation tests & déploiements,"CI/CD, tests automatiques, releases vers cloud/self-hosted",cicd,Phase 4,
[FEAT] Génération de rapports (emails, Discord, etc.),"Notifier l’utilisateur des releases et updates",reporting,Phase 4,
[DOC] Documentation technique (README, changelog, doc UI…),"Documenter toutes les parties de l’app et l’utilisation",documentation,Phase 4,
[UX] Ergonomie interface web,"Optimiser l’UI pour la rapidité et la simplicité",ux,Phase 4,
[FEAT] Import/export de données,"Permettre la sauvegarde/restauration du profil IA",backup,Phase 4,
